panel,tenure,supersector,ref_date,emp_active_prior,emp_active_current,emp_qualified_prior,emp_qualified_current,emp_active_diff,emp_qualified_diff,emp_active_growth,emp_qualified_growth,emp_active_index,emp_qualified_index
0,1,70,2024-06-12,288752.0,295274.0,193564.0,199872.0,6522.0,6308.0,0.022586856541253395,0.03258870451116943,155.88559175100963,95.99015869813341
0,1,70,2024-07-12,299746.0,301889.0,203716.0,201625.0,2143.0,-2091.0,0.007149386480553535,-0.010264289501070117,157.00007809318743,95.00488792000209
0,1,70,2024-08-12,305405.0,306352.0,205167.0,201937.0,947.0,-3230.0,0.003100800576283951,-0.015743272553578304,157.48690402581536,93.50920007555534
0,1,70,2024-09-12,309225.0,301850.0,205037.0,198881.0,-7375.0,-6156.0,-0.02384994744926833,-0.03002384935401903,153.73084964085172,90.70169393927205
0,1,70,2024-10-12,304523.0,301779.0,201139.0,198126.0,-2744.0,-3013.0,-0.009010813633124592,-0.014979690661681722,152.3456096050761,89.34301062157121
0,1,70,2024-11-12,304865.0,297476.0,202193.0,195896.0,-7389.0,-6297.0,-0.024236957341774227,-0.031143511397526125,148.65321556387127,86.56055555198901
0,1,70,2024-12-12,299710.0,295170.0,198894.0,197601.0,-4540.0,-1293.0,-0.015147976377164592,-0.00650095025490965,146.40142016612018,85.9978296863082
0,1,70,2025-01-12,297859.0,289273.0,199744.0,186750.0,-8586.0,-12994.0,-0.028825719551868502,-0.06505326818327459,142.18129388641634,80.40338980854521
0,1,70,2025-02-12,298397.0,296410.0,197131.0,199699.0,-1987.0,2568.0,-0.006658914131174241,0.013026870456701381,141.23452085936742,81.4507943518608
0,1,70,2025-03-12,298692.0,304025.0,203565.0,205340.0,5333.0,1775.0,0.01785451234047112,0.008719573600569843,143.75619435495156,82.16101054803671
0,1,70,2025-04-12,307548.0,313270.0,208716.0,211742.0,5722.0,3026.0,0.018605225850924084,0.01449816976178156,146.43081081839478,83.35219482676169
0,1,70,2025-05-12,318281.0,331625.0,216631.0,223312.0,13344.0,6681.0,0.04192521702520729,0.030840461429804598,152.56995434113304,85.92281497640599
0,1,70,2025-06-12,336095.0,345232.0,227572.0,233415.0,9137.0,5843.0,0.02718576592927595,0.025675390645597877,156.71768540769142,88.12891681629465
0,1,70,2025-07-12,348354.0,349881.0,236824.0,235203.0,1527.0,-1621.0,0.004383471985394168,-0.006844745464986657,157.40465299129184,87.52569681258213
0,1,70,2025-08-12,353475.0,355254.0,239420.0,236721.0,1779.0,-2699.0,0.005032887757267133,-0.011273076601787654,158.1968529422686,86.53901292778905
0,1,70,2025-09-12,358632.0,350545.0,240028.0,232330.0,-8087.0,-7698.0,-0.022549577282562627,-0.03207125835319213,154.62958078098873,83.76359788655168
0,1,70,2025-10-12,353995.0,350932.0,235335.0,233451.0,-3063.0,-1884.0,-0.00865266458565799,-0.00800560902543183,153.29162288346993,83.09301927130846
0,1,70,2025-11-12,357075.0,346110.0,238912.0,233278.0,-10965.0,-5634.0,-0.030707834488552826,-0.023581904634342354,148.58436909948267,81.1335276150729
0,1,70,2025-12-12,348206.0,344326.0,235670.0,231882.0,-3880.0,-3788.0,-0.011142829244757414,-0.016073322866720415,146.92871884616713,79.82944223039986
0,1,80,2019-02-12,26428.0,26633.0,19031.0,19490.0,205.0,459.0,0.007756924474042682,0.024118543429141926,100.0,100.0
0,1,80,2019-03-12,27509.0,28139.0,20090.0,20404.0,630.0,314.0,0.02290159584136101,0.01562966650074664,102.29015958413609,101.56296665007467
0,1,80,2019-04-12,29094.0,29461.0,21060.0,21485.0,367.0,425.0,0.012614284732247199,0.020180436847103515,103.58047678243739,103.61255168456098
0,1,80,2019-05-12,30712.0,31312.0,22471.0,22604.0,600.0,133.0,0.01953633758791352,0.005918739708958213,105.60405994437613,104.22580740856289
0,1,80,2019-06-12,32362.0,32817.0,23281.0,23517.0,455.0,236.0,0.014059699647734998,0.010137021605601135,107.08882130877544,105.28234667012471
